"","text"
"145","evmtempering
 narendramodi give  back  democracy
  people  nytimes timesofindia washingtonpost bbcworld"
"146","bbcworld manuel valls doesnt suggest  make  coalition  la republique en marche    expressed  expects  join "
"147"," bbcworld   ebola cases  hour  sierra leone  save  children  "
"148","bbcworld   bring  socialists onboard    main consideration"
"149","splitsecond remaster  pretty poor tbh "
"150"," honestreporting eylonalevy avivaklompas bbcme  wrong   verification   bbcworld  equally careful  vilifyin"
"151","bbcbreaking bbcworld surprise    idiots   pathetic courts  legal system backed    bought "
"152","jazukai realjeremynolt bbcworld    discrimination"
"153","wef guardian intthings theeconomist time thegooglefact accuratetext cnn bbcworld  made   choice "
"154","jazukai realjeremynolt bbcworld  compatible    long  laws  properly enforced  "
"155"," student     police    looked    lionel   "
"156"," neopac aap mla sourabhbhardwaj  demo  evmrigging watch ndtv  bbcworld independent nytimes shame shamebjp shamemodi"
"157","neopac ndtv bbcworld nytimes independent arvindkejriwal haha  thought    educated person main hoon na"
"158","ianlaverymp  ianlaverymp absolutely fabulous passionate speech gwynnemp debbieabrahams tpearce bbcworld "
"159","bbcworld youd     dead  bloody idiot "
"160","bbcworld    muslim ban      makes  fakenews"
"161"," bbcworld man killed amp  injured  shooting   orleans french quarter 

 "
"162"," ikamranshahid dear bbcworld foxnews cnn cnni sz    democraccz   challenged  india 
follow  hashtag  wec"
"163"," infiniti worth sharing

unhcrinsyria unhcr bbcworld bbcarabic mbc skynews telegraph guardian mailonline "
"164","   worlds richest places  worlds poorest ppl  good piece  bbcworld  mining amp corruption "
"165"," intladf  issue   decides  hate amp hate postings  legal certainty amp predictability "
"166","neopac ndtv bbcworld nytimes independent arvindkejriwal side tracking issue  corruption  fraud anti corr "
"167","bbcworld bbcnews skynews itvnews bbcpolitics westminster uklabour campaign  wheres  puke bucket ffs  lies lies amp  lies "
"168"," student     police    looked    lionel   "
"169","   chinas contribution   world   oborvia bbcworld
djdespain
javierfuentetv "
"170","madagascan sir david    impressed cost cutting  fact checking bbc bbcworld fail "
"171"," bbcworld  playful panda   filmed rolling   hill   breeding centre  china  "
"172"," danielportman  bbcworld start reporting whats happening  venezuela properly  opposed  dedicating  day   royal vamp"
"173","neopac ndtv bbcworld nytimes independent arvindkejriwal pure bullshitd machine shown   red swit "
"174"," atomicanalyst bbcworld erased   permanently     check   original url  "
"175"," student     police    looked    lionel   "
"176","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"177"," student     police    looked    lionel   "
"178","bbcworld  bother      hoping  achieve   low iq morons"
"179","aap mla sourabhbhardwaj  demo  evmrigging watch ndtv  bbcworld independent nytimes shame shamebjp shamemodi"
"180"," bbcworld emmanuel macron   frances  president   election night highlights   secs presidentielle 

"
"181","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"182"," student     police    looked    lionel   "
"183"," zablokifeller vegmediacritic bbcworld bbcnews making   public  compromise  investigative benefits"
"184","bbcworld  sudden decision  ignore   concerned public   public debate   media   ended operation  "
"185","neopac ndtv bbcworld nytimes independent arvindkejriwal zee news alleging  evm theif  exposing  bosses fraud"
"186","bbcworld farewell pepe   hate symbol "
"187"," dinapomeranz huge step  global health "
"188"," tabiyong today   sad day  democracy  indonesia  justice system   bullied sad sad day prayforindonesia  "
"189"," director robert roth interviewed  imogenfoulkes bbcworld article    amp  position  humanrights "
"190"," ainmbreige bbcworld zombie jesus pepe walks  earth "
"191","  sending  "
"192","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"193","bbcworld hang  "
"194","henrythelocke bbcstever bbcworld    lesson      revisit history books  "
"195","pepe   wrong "
"196","qantas chief alanjoyce hit  pie  face
bbcworld "
"197","bbcworld   recon change     date mind   europe   saudis backing  im  wrong lol"
"198"," autisticlima bbcworld    people   die  europe understands islam    religion  peace refugeesnotwelcome"
"199","dear bbcworld foxnews cnn cnni sz    democraccz   challenged  india 
follow  hashtag  wechallengeec"
"200","bbcworld bbcnews mans   bottle  dignity  credibility"
"201","bbcworld shift usa  mars world peacethey stole democracy sustained illegal wars   fake royal debts  "
"202","redundantpundit bbcworld  suppose  inevitable   halfwit  make  comment  "
"203"," amberlight venezuela womens march tear gas   protesters   bbcworld  cnvey"
"204","  time  live   memes make bbc news "
"205","bbcworld  people  kekistan   surrender   globalist pigs"
"206","bbcnews bbcworld 
  sad"
"207"," fantastic expose  aaps sourabh bharadwaj  doubt  bjp  evmscam ndtv bbcworld nytimes independent arvindkejriwal"
"208"," bbcworld  deadly  thirsty cobra   filmed drinking water   bottle   droughthit indian village "
"209","     finland  "
"210","discover  famous tunnel  gales    century 
  bbcworld"
"211"," kaminskimpl bbcworld mrboisy  memes make world news thisisallasimulation"
"212"," fdfpd bbcworld  italy    motto 

ltltmany people    climb   winners wagongtgt "
"213","bbcworld bbcnews  nice   teeth   "
"214"," monaeltahawy blasphemy laws   abolished  indonesia ireland pakistan "
"215"," infokfcb ezekielmutua kfcb  ordered   withdrawal   game   social media sites  cnnbrk bbcworld  kfcbbans"
"216"," bbcworld tibetan womens football team denied  visas   part  texas tournament 

 "
"217"," yourstreddy retweeted kalyan annapareddy kalyanreddya

republic bbcworld    proof  "
"218"," neopac  modis newindia    normal   single rssbjp minister     bbcworld nytimes 
"
"219"," bcinemafrance baahubali  bbc news  indian cinema  baahubalimovie  ssrajamouli bbcworld baahubali "
"220"," guess   shows military equipment    long tradition  dates back     "
"221","bbcworld    "
"222","whatwhy    frogs faulthaters   haters "
"223","reuters bbcworld  good politician   sacrified "
"224","bbcworld absolutely appalling
blasphemy year "
"225"," garrychakde kiranpatniak indiatoday bbcworld cnni httweets jansatta newstvchannel abpnewshindi ndtvindia aajtak newsin"
"226","bbcstever bbcworld  matter   men  women deserve respect"
"227"," bbcworld  moment  giant crane collapses  dubai   hit   ship

 "
"228","bbcworld    website   questioned spicers  open   mouth      websit "
"229","bbcworld "
"230","bbcnews bbcworld grief  affects people    ways"
"231"," student     police    looked    lionel   "
"232"," student     police    looked    lionel   "
"233"," student     police    looked    lionel   "
"234","gojgic bbcstever bbcworld  called    soviets   separate peace   nazis   differe "
"235"," mariatsevdos almagrooea marcorubio realdonaldtrump cnn cnni cnnee bbcworld nytimes dlasamericas ntn adn "
"236","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"237","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"238","bbcworld oops"
"239","jakarta governor ahok found guilty  blasphemy   bbcworld"
"240"," student     police    looked    lionel   "
"241"," student     police    looked    lionel   "
"242","bbcworld     russia    afghanistan     send john rambo  thefuckery"
"243","   creation    despicable    kill   sad "
"244"," digitalabdullah    president "
"245","     extinct people "
"246","   president "
"247","bbcworld   bbcsport chris froome  claimed   rammed  purpose   car driver   training   "
"248","bbcworld   "
"249","ezekielmutua kfcb  ordered   withdrawal   game   social media sites  cnnbrk bbcworld "
"250","bbcworld  bbcsport chris froome  claimed   rammed  purpose   car driver   training   "
"251","bbcworld milf"
"252"," mariamveiszadeh bloody rude      "
"253","nicholasdougl bbcworld trumps ancestry  dont      skeleton     liberal"
"254","bbcworld  bbcsport chris froome  claimed   rammed  purpose   car driver   training   "
"255","wow    "
"256","bexxyboo juicylite eyepicard bbcworld    leaders lose heart trump  fall    gamer "
"257"," student     police    looked    lionel   "
"258"," student     police    looked    lionel   "
"259","keatonc miamivargas bbcworld genflynn obama fired flynn   disagreed  obama   red flag"
"260","bbcworld  bbcsport chris froome  claimed   rammed  purpose   car driver   training   "
"261","bbcnorthamerica bbcworld  cracking   immigration means  victory  trumpprotecting  faithful   "
"262"," jdavis bbcworld   biggest country  suckers   planet  years        show  itn"
"263"," bbcsport chris froome  claimed   rammed  purpose   car driver   training  southern france

"
"264","omarabooks bbcworld  team omarabooks  believing  xxx"
"265"," ahmed sophiajaafri aljazeera amnesty bbcworld kenroth defencepk wiseguy  time   rape  india     takin"
"266"," student     police    looked    lionel   "
"267","  sad  hes  good man  "
"268"," marcboni napoles  lucky   acquited   country  killed  suspects thought   guilty cnnphilippines bbcworld nytim"
"269","  michael flynn appointments  badask newportcounty  "
"270","newstvchannel newsworldindia abpnewshindi indiatoday indiatvnews ndtvindia aajtak bbcworld cnni "
"271"," nckbabr enjoyed talking  bbcaaron  mentalhealth  bbcworld  part  mhaw"
"272","napoles  lucky   acquited   country  killed  suspects thought   guilty cnnphilippines bbcworld nytimes"
"273"," student     police    looked    lionel   "
"274"," newssnp angusmacneilsnp  bbcworld  moment  giant crane collapses  dubai   hit   ship

 "
"275","bbcworld   biggest country  suckers   planet  years        show   "
"276","sincerely disappointed qantas "
"277","fascinating "
"278","bbcworld      survived   "
"279"," latest  influential bahrainis daily  bbcworld"
"280","bbcworld bbcnews 
animals  demonstrate grief amp joy     hard   early humans 
superior complex "
"281","     wanting  airlines  fade    news  "
"282"," bbcworld vladimir putin praises military  ww victory parade   news past valour   honoured"
"283","bbcworld     disgrace   country   disgrace  memory    suffered  ww victoryday soviet russia "
"284"," pushpullds  wild "
"285"," umpeacegrowth bbcworld malaria  transmitted  man  man   female anopheles mosquito     capable vectors "
"286","bbcworld bet  forgets  helped   huricanes murmansk convoys raf squadrons decorated  russiaampm "
"287","celebrations  moscow "
"288","bexxyboo juicylite eyepicard bbcworld kek   soul slaves  pass   veil  barely  whis "
"289","bbcworld malaria  transmitted  man  man   female anopheles mosquito     capable vectors "
"290"," science  "
"291","bbcbreaking bbcworld indonesia calls   secularstate   turning   islamisthellhole"
"292","bbcworld    importing  muslim   good idea youve  obvious  experienced islam   isl "
"293","bbcworld     ww   minds unlike  eu"
"294","  shockingly harsh   bode   indonesia "
"295","bbcworld indonesia calls   secularstate   turning   islamisthellhole"
"296","bexxyboo juicylite eyepicard bbcworld  forces  disorganized  supply lines  fragmented  "
"297","hieronymouz bbcworld genflynn firing  doesnt revoke  clearance"
"298","westld bbcworld genflynn  fired  "
"299"," incredible firewomanjo   bbcworld yesterday talking   brilliant book firewoman   jo "
"300","amazon unveils plans  grocery shop   checkouts   bbcworld ecommerce "
"301"," roomkes spicer  trump  obamas flynn warning   assumed   issued   spite    trump operates"
"302"," student     police    looked    lionel   "
"303","ft business nytimes theeconomist bbcworld wsj forbes 
ccntemporary art artist based  south east london gt "
"304"," munafikunn hear  mr jokowi   good politician   sacrified bbcworld  shame  yousittayohag gerilyapolitik cagub"
"305"," student     police    looked    lionel   "
"306","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"307","bbcnews bbcworld  "
"308","sarahcorkernews bbcworld good   corkmeister"
"309","brilliant   good fun "
"310"," student     police    looked    lionel   "
"311","firstpost reallyvery  hurts shameful criminalpoliticalnexus demonetisation pmoindia pls reply   "
"312"," student     police    looked    lionel   "
"313","freeahok religious intolerance   worst kind  crime       leader bbcworld cnni camanpour humanrights indonesia"
"314","bbcworld jakarta governor ahok found guilty  blasphemy     hard  conquer ignorance "
"315","redundantpundit    news  interesting nonetheless        "
"316","jimgdyson bbcnews bbcworld     choose whats    free speech       "
"317","danielportman bbcworld   days theyre    wow"
"318","isnt   chelsea team standing  paying homage   benefactors "
"319","spicer  trump  obamas flynn warning   assumed   issued   spite    trump "
"320","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"321"," student     police    looked    lionel   "
"322"," osslsafety realdonaldtrump vanbeurdenshell exxonmobil rextilllerson shellcanada shellcareers shell shellnederland shellq"
"323"," jkbartsheart    robot 
bartsheartcentre  future technology "
"324","cnn bbcworld  realdonaldtrump   fooling      deals  russia making money "
"325"," waheedapeace bbcworld indonesia        peaceful islam  alas    gave  filthy fundamentalists "
"326","bbcworld      eastern front  horrific"
"327"," student     police    looked    lionel   "
"328"," bbcworld  bbc   exclusive   yayoi kusamas infinity mirrors exhibit  washington dc infinitekusama
"
"329","becksv bridgetkendall lhammondsoas tadiasnews  bbcworld  famine  pestilence af "
"330"," student     police    looked    lionel   "
"331"," student     police    looked    lionel   "
"332","taliban fight       headline  main point    troops  deployed "
"333","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"334"," student     police    looked    lionel   "
"335"," vkraomovva  nikkihaley russiaun unpga antonioguterres ungeneva imfnews worldbank realdonaldtrump pontifex potus royalf"
"336","bbcworld shame   mr manuelvalls"
"337"," reasons  macron won  french election bbcworld  france politics economy"
"338","hope  indian legal system  investigate  bring  woman justice hrw amnesty bbcworld ajenglish "
"339","bbcworld bbcnews shows  messed   french   vote          france"
"340","bbcworld bbcnewsthis   politicians  doingjumping   cruising ship     make moneydid  campaign  macron"
"341"," student     police    looked    lionel   "
"342","pepe  frog  killed   avoid   hate symbol   bbcworld  cnvey"
"343","bbcworld vladimir putin praises military  ww victory parade "
"344","vladimir putin praises military  ww victory parade  bbcworld     pm"
"345","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"346","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"347","bbcworld    gods     im   dont give  flying fuck   petty piece  bullshit"
"348","hugodawson bbcstever bbcworld germans    financially  technically supported   corporations"
"349"," red plague "
"350","bbcworld vladimir putin praises military  ww victory parade "
"351","trueamerican bbcworld pissed  france showed  intelligence amp didnt vote   female trump impersonator awww"
"352"," hldsnr  erdogan regime   isis terrorist released  prison  turkey today
reutersworld cnni bbcworld ap afp skynew"
"353","bbcworld trump   deflect attention  russiaflynngate"
"354","bbcworld funny   things     labelled hate symbols   antifa flags isis finger salute "
"355","bbcworld vladimir putin praises military  ww victory parade "
"356","bbcworld vladimir putin praises military  ww victory parade "
"357","vladimir putin praises military  ww victory parade  bbcworld"
"358"," wiremaster exciting times  cnbc business cnnmoney bbcworld bitcoin blockchain cryptoeconomy cryptocur"
"359","vladimir putin praises military  ww victory parade  bbcworld "
"360","bbcworld  vladimir putin praises military  ww victory parade   twitter "
"361","vladimir putin praises military  ww victory parade  bbcworld "
"362","vladimir putin praises military  ww victory parade  bbcworld "
"363","vladimir putin praises military  ww victory parade  bbcworld "
"364","bbcworld      thousand   amp  afghanistan   flame amp  idiotic government   moth"
"365","bbcnews michaelrosenyes bbcworld   leave  sacked   vile     pay  murdoch"
"366"," umpeacegrowth bbcworld   amp  london city    museum  skulls amp bones    small      grays anato"
"367","bbcworld   amp  london city    museum  skulls amp bones    small      grays  "
"368"," wild "
"369","bbcworld envy"
"370"," samezeh   suddenbbcworld asks    meaning  biafrexit    means   doesnt understand word britexit "
"371","hahahaha  hate symbol  triggered  people  "
"372"," seanicusgaming bbcworld gtwe killed  meme
gtwhy      meme

lol idiots"
"373","bbcworld rothschild bankers 
   scenes  macron
   work   
  control "
"374","facinating "
"375"," cflfrank  bbcworld    light  india  embracing solarpower   renewableenergy"
"376","bbcstever bbcworld kind  ironic  considered    german top brass  outbreak  war trained secretly  russia altright"
"377","praying  ahok amp  justice  face  illogical ruling bizarre amp baffling "
"378","bbcnews bbcworld   isnt asked  leave     vile rants   scots women gay rights immigrants  refugees"
"379","bbcworld     "
"380"," mndlover bbcworld  hasnt     "
"381"," faranakazad   freeelection  iran  prince rezapahlavi 
iranncorg ap cnnbrk bbcworld nypost nytimes nytimesworld fo"
"382"," bexxyboo juicylite eyepicard bbcworld     day lord pepe rose   dead  cartoon death  makes  "
"383","akulakorah grimmriso bbcworld   ages  switched  wouldve    jail"
"384","bbcworld stop radical muslimsre    koran  reflect  modern word"
"385","bbcworld bbcnews   poll "
"386","taliban fight  arse    longterm  occupation ffs "
"387"," youngdemstrump marine calls macron  congratulate 
 classy  usual mlpofficiel
frenchelection presidentielle
"
"388","  leave   "
"389","bbcworld piltdown man"
"390","bbcworld  dancing"
"391"," pjvanegg  ending story  military engagement  afghanistan "
"392"," student     police    looked    lionel   "
"393"," spotthedog israelipm palestineun whitehouse govuk  timesofisrael foxnews bbcworld  comment  "
"394"," student     police    looked    lionel   "
"395"," nikkihaley russiaun unpga antonioguterres ungeneva imfnews worldbank realdonaldtrump pontifex potus "
"396","bbcworld utter fascinating   brains   size   didnt realise trumps ancestry hadnt evolved  "
"397","worlds  mad "
"398"," ending story  military engagement  afghanistan "
"399"," student     police    looked    lionel   "
"400","bbcworld    skull   monkey  "
"401"," hope macron  turn    opportunist   problem backstabbing  candidate    party aft "
"402"," moment  silence "
"403","  news services havent disappointed   glowing praise   centrist macron   massive vi "
"404","radiomail bbcworld       messing    school teacher  pedo  young macron"
"405","bbcworld realdonaldtrump     rainless thunder"
"406"," student     police    looked    lionel   "
"407","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"408","bbcworld afghanis   spare  occupying soldier 
  pretext  terrorism  bastards    "
"409","bbcstever bbcworld  back  agree  patton "
"410","taliban fight   send   troops  afghanistan   bbcworld  cnvey"
"411"," iampossibleok bbcworld bbcnews  thought indonesia  progressive mindset        islamic countries"
"412"," student     police    looked    lionel   "
"413"," student     police    looked    lionel   "
"414"," student     police    looked    lionel   "
"415","bbcworld  left  husband   children    yearold macron"
"416","fightmilk bbcnews bbcworld    twisted perception  free speech norespect immoral dontbuythesun"
"417","bbcworld amazing haul  ancient human finds unveiled "
"418","bbcworld barely human    depressed frontal lobe"
"419","lots  fun developments  anthropology   worth  shouting

humanevolution "
"420","bbcworld amazing haul  ancient human finds unveiled "
"421","bbcworld  doesnt  "
"422","taliban fight   send   troops  afghanistan   bbcworld  cnvey"
"423"," student     police    looked    lionel   "
"424"," student     police    looked    lionel   "
"425","amazing haul  ancient human finds unveiled  bbcworld"
"426","bbcworld amazing haul  ancient human finds unveiled "
"427","amazing haul  ancient human finds unveiled  bbcworld "
"428","amazing haul  ancient human finds unveiled  bbcworld "
"429","amazing haul  ancient human finds unveiled  bbcworld "
"430","amazing haul  ancient human finds unveiled  bbcworld "
"431","bbcworld  amazing haul  ancient human finds unveiled   twitter "
"432","bbcworld  french expm manuel valls    macron mp   twitter "
"433","   cool "
"434","bbcworld    thing      foxnews  hack   fact amp misrepresent    viewers "
"435","china restricts nonchinese companies  work  obor projects viabbcworld "
"436"," bbcworld french presidentelect emmanuel macron tells crowds  paris  courage  carry  forward frenchelection "
"437","bbcworld amazing haul  ancient human finds unveiled "
"438","bbcworld french expm manuel valls    macron mp "
"439","swinter bbcworld hahha    grandma"
"440","danielportman bbcworld      dont understand   plastered   tv  newspaper repo "
"441","amazing haul  ancient human finds unveiled  bbcworld     pm"
"442","bbcworld  reasons   vary   makes tremendous   recent election results"
"443","amazing haul  ancient human finds unveiled "
