"","text"
"115","cnn wow     add    case   forgotten      president       end   preposition"
"116"," yates  questions   trump white house sally yates didnt bring  smoking gun   "
"117"," cnnnews aamaadmiparty bjpdelhi aamaadmiparty    divert  attention   issues   party   "
"118"," cnnpolitics donald trump jr takes  victory lap  indiana  calls  republicans  stay active  "
"119"," amakaekwo   leadership  nnamdi kanu agitation  biafra freedom  gained  attention  world leaders ipob

"
"120"," dont  viagra     daily  cures erectile dysfunction   "
"121"," woman opens    ocd depression  unhealthy exercise addiction  compulsive disorder   es "
"122","  president obama  speak  climate change  food supply   seeds   cnn  cnvey"
"123"," jedgarren bronckobamma vidalexperience tanyastwit itisimack safetyrefinery akraus krukmatt hollynotdolly daisybetty tri"
"124","tyt   edgier clone  arm  cnn interesting hypothesis 

"
"125","cnn  learned    collusion  learned  obama wh spied  americans   political campaign   "
"126","cnn  jasonmillerindc   care   family  deemed  important    leave  dumpf team   care   sick "
"127","cnn  fake news"
"128"," cnnbrk south koreans started casting votes  fill  void left   impeachment   president park geunhye "
"129","melrose place actor antonio sabato jr  running  congress  cnn   hell  "
"130","cnn red portion  southern states     delicious fried food  explanation  makes sense"
"131","thepfs rovalo gvravel cnn im afraid          needed   single vow "
"132"," cnn  sally yates testimony  monday  questions   trump white house  "
"133","  learned yesterday  clapper  yates  spying  trump  guess trump   ha cnn man im  tired  winning"
"134","cnn  listen  malvaney  kelly explain    dealing    construction   agents"
"135"," cnn south koreans head   polls  elect   president amid concerns   economy corruption  north korea "
"136","aamaadmiparty bjpdelhi aamaadmiparty   answer   issue  corruption levelled   bjp leader rp singh  cnnnews"
"137","hotnostrilsrfun rick culturoffreedom mmflint mmflint socialism sucks ap pbs nprpolitics cbsnews "
"138"," thehill cnn anchor trumps tweet  sally yates  witness intimidation  "
"139"," marksimoneny imagine  nerve  cnn accusing pres trump  racism   sued  racism   people   network  "
"140","cnn      whats    context"
"141"," cnnpolitics  interior department freezes  work     science advisory boards committees  subcommittees "
"142"," appsame    days  fire michael flynn cnn 
 susan rice loretta lynch eric holder   fired 
realdonaldtrump  "
"143","leon balfour jr turned   nice job pol  "
"144","st rule   flat belly lose  kilo  day   bizarre trick   "
"145"," cnni  tear gas canisters flew    man carried  playing  violin   protest  venezuela "
"146","allnatural miracle pill destroys erectile dysfunction   "
"147","powerful brainenhancer doubles iq   "
"148"," tribelaw  quaint   supposed     meant  mention jared   sales pitch yeah  "
"149"," cernovich fake news     control   cnn  telling democrats  chill

"
"150"," valeriedouglasa life expectancy differs   years    counties trump counties  native americans cnn "
"151"," ewilliamstv tvtnt assistant commissioner  police tobago confirms officers  investigating  shooting incident  sunday"
"152","jimmy kimmel returns  talk health care  son  reaction   speech  cnnmoney "
"153"," jonswaine cable news  
msnbc yatesflynn
cnn yatesflynn
fox news  south korean presidential election"
"154"," artbyawohs  find  embarrass   egging   "
"155"," rawstory  president  threatening  witness cnn analyst slams trumps disturbing sally yates tweets  "
"156","cnn  gop senators  battle   health care "
"157"," epa isnt focused  environmental protection       namethe  environmental protection ag "
"158","  paths  trump  russia "
"159"," things  tuesday   russia afghanistan life expectancyrussia afghanistan life expectancy

 "
"160","cnn cillizzacnn obama  cnn   obsolete    beens cbsfakenews clintonnewsnetwork cnnsucks"
"161"," opindiacom  journalist pallavighosh spreads fake news  gangrape  beef eating      att"
"162"," feraliaga  gop senators  battle   health care  "
"163"," completely agree  smerconish  

politics satire"
"164","spirit cancels flight passenger brawl breaks  cnn    fly   cheap outfit spiritairlines  deserve "
"165"," redalertnow   small business owners  obamacare repealed cnn   show  poll "
"166","marywalterradio realfrankearles cnn   agency   clearance   charge  thatnot obama  "
"167"," zerohedge israeli pm netanyahu slams cnn nyt    fake news  "
"168"," cabroncita bkdcd  bkdv     directors announced yesterday    cnn 
"
"169","cnn   charge  mister coffee "
"170"," pinkviixen url 
incompetent   
lol
potus muslimban sallyyates fakenews alternativefacts cnn msnbc obama justice  flynn"
"171"," unodcconig unodc eu nigeria organise workshop  gender dimensions  criminal justice responses  terrorism cristinaalbert eui"
"172","cnn    replies   dead ass wrong       white assaulted   girl     story"
"173"," deplorablegaryd mcgilh wrong wrong    cnn  msnbc  lmao"
"174"," zendaya    bold faced lies "
"175"," twittrpoll poll

 cnn celebrating  emmanuelmacron win"
"176"," honeymiracle john oliver herds viewers  fcc website  cnn "
"177","chriscuomo   jason miller  cnn"
"178","chriscuomo cnn msnbc seanspicer   country    years   utter nonsense"
"179","cnn isnt   hate crime cnn   fit  identity politics agenda"
"180","cnn  trial  verdict violate  founding principles  indonesia shame jakarta indonesia ahok"
"181"," rockprincess breakdown   agencies    proof trump colluded   russians
cia nsa fbi dia dos doj ncis dhs
"
"182"," brianstelter flynn        washingtonpost report   effect shamed    rid   "
"183"," honeymiracle breakingsletsgooooolive updates exag sally yates testifies  russia probe  cnn "
"184","  president     strapping young socialist     "
"185"," cernovich cnn   sued   times  people  fox  media  covering   

"
"186"," honeymiracle donald trump  turning liberals  conspiracy theorists  cnn "
"187","reallauriedhue barrybrooks reliablesources brianstelter  cnn  reporting   didnt happen 
  "
"188"," floweryskulls gigi hadid  "
"189"," cnn  president barack obama calls  courage  oppose obamacare repeal  "
"190","cnn soul plane"
"191"," cnnent iamjohnoliver tackles net neutrality   lastweektonight  "
"192"," honeymiracle  fraternity members charged  hazing death  cnn "
"193"," honeymiracle prince harry kissed  girlfriend    cnn "
"194","fionaadorno trump   huge hypocrite  cnn foxandfriends"
"195","inauguration plans special episode jchiannanka mad dog 

cnn fortheculture
video doncheadle
nscrew
"
"196","honnecraft cnn clippers original statements abtno collusion  months      "
"197","genius pill banned   united states   "
"198"," cnni correction  canadian  american journalist    asked  leave  kushner family event  china "
"199","cnn   mr president"
"200"," rnrflorida florida teen  threw woman  pool arrested cnni  rednationrising"
"201"," honeymiracle    health care  complicated   cnn "
"202"," suppose       imitation prez    real news    americans  "
"203"," pledge trumps wall     illegal drugs "
"204"," chydee  billionaire  son   dog   mad including  cnn     mad "
"205"," shehatesjacoby yall gotta stop voting idiots  congress  "
"206"," actiontime   remember trumprussia treasoninactionthe  paths  trump  russia russiagate theresistance resist "
"207","limitless pill leaked   drug wall street traders    "
"208","accidental diet trick makes  lose  kilo  day   "
"209"," jfordussenate yardrepshrtfuse voteforrdparty diamondsnjeans thegspledge legolvr angloshok itisnunyadb berniewdvewon "
"210"," asluhn mental health effects   climate change   uk flood victims  depression  anxiety amp  ptsd "
"211","  president obama  speak  climate change  food supply   seeds  chips summit  italy "
"212","msm  channels nero    world literally burns   "
"213"," olowoyeyeolait  gop senators  battle   health care "
"214","florida teenager turned    police  online video showing  dragging amp   "
"215","  exs cnn  bitch  news"
"216"," cnn researchers  developing  prosthetic arm   camera    identify objects     appropriately "
"217"," polanosam  hillary clinton defined  moment cnnpolitics "
"218","   health care  complicatedmy piece  cnn   impossibly complex politics  tax reform "
"219","  middle   protest  venezuela  violinist plays  national anthem  tear   "
"220","irish beach reappears  years   washed  "
"221"," cnn donald trump jr calls  indiana republicans  stay active  recent gop wins  reinvigorated  democrats "
"222"," president trumps emphasis  border security drug smugglers continue     cnn  cnvey"
"223","  paths  trump  russia
  read"
"224","study finds epipens   potent  years  expiration date  rworldnews  "
"225","mumbai pulls    stops  justin biebers  india concert  cnn "
"226"," marklevinshow  fraud   cnns brian stelter "
"227"," vinusmaximus cnn teen threw woman  pool

reality  teen body slammed elderly white woman hard  concrete amp dragged  "
"228","mental health effects   climate change   uk flood victims  depression  anxiety amp  ptsd "
"229","  indonesian        political condition     tweets   scattered "
"230","cnn    sow  seeds   riot ahead   presidents talk hmm   sneaky snake"
"231","gregii cnn  people voted  hillary     fuhrer  people voted  dems   congressmen  "
"232","  bdabca"
"233"," emolclause  daily reminderemoluments
 clausethe trump family nightmare theresistance cnn msnbc
 "
"234","ed doctor    trash throw   blue pill tr   free   "
"235"," cnn life expectancy differs   years    counties  research shows  "
"236","college student discovered  faster   lose weight  free    "
"237","philippines   reports  extrajudicial killings based  alternativefacts   "
"238"," anubhavsinha news channels insist  unison  evm tampering demo  ridiculousamp   worth discussion cnn ndtv timesnow indiat"
"239"," jaketapper flynn  knew    cnn video "
"240","cnn reminds     sr  "
"241"," cnn bill clinton  james patterson  writing    "
"242"," conservcross biased fake news channel cnn corespondent christiane amanpour dances  macrons globalist cuck victory

"
"243"," emolclause st daily reminderemoluments clausethe trump family nightmare theresistance cnn msnbc
 "
"244"," cnnfc    emotional  im human

muntariofficial opens    experience  racial abuse "
"245","cnn       crime drama   fakepresident   swamprat cabinet  grifter relatives"
"246"," things  tuesday   russia afghanistan life expectancy "
"247"," glossyfilm  screamed   republicans  fucking dumb "
"248","trump tweets russiatrump collusion  hoax cnnpolitics "
"249","cnn     stop   idea   make  harder    "
"250"," friendeden gops message  americans youre    "
"251"," solomongrundy  trumps yates tweet witness intimidation cnnpolitics  hahnamerica bbsp sfalumberjack"
"252","cnn     world leader    clear eyed  spoken sane"
"253"," conspiracy  return   chibokgirls directed  played  nigerian govt  cnn  fake media
"
"254","propublica comeys testimony  huma abedin forwarding emails  inaccurate  "
"255","genius pill banned   united states   "
"256","cnn panel    rails  april ryan slams jason miller  blaming obama  flynn "
"257"," pjaw angelsfanlife wikileaks wikileaks      retract  theyve published  credibility  peddling"
"258","china seals biggest foreign takeover "
"259"," cnn elusive street artist banksy reveals   mural  england   worker chipping  star   european union flag "
"260","israeli pm netanyahu slams cnn nyt    fake news    hedge "
"261"," cnn jakartas governor found guilty  blasphemy  sentenced   years  prison   landmark trial  indonesia "
"262","realdonaldtrump   didnt youre  idiot     dont read   apparently  hear  cnn   sanjay "
"263"," cnn  reporting   didnt happen 
 menillegal aliens aged     sex    yr  gir "
"264"," yates  questions   trump white house "
"265","    helicopter sightseeing tours  north america "
"266"," cnn   middle   protest  venezuela  violinist plays  national anthem  tear gas canisters flew   "
"267","tories talk brexit  hide austerity  msnbc randirhodes morningjoe thomhartmann cnn hardballchris"
"268","biased fake news channel cnn corespondent christiane amanpour dances  macrons globalist cuck victory

"
"269","cnn   practising    throws  grandma   pool fail"
"270"," cnnmoney create millions   jobs develop cleaner energy end racism "
"271"," epa isnt focused  environmental protection         "
"272"," smsteinitz trumpland   nutshell "
"273","st rule   flat belly lose  kilo  day   bizarre trick   "
"274"," hashtaggriswold  cnn piece debunking rape    preexisting condition neglects  mention     pushing  htt"
"275"," epa isnt focused  environmental protection         "
"276"," dashannestokes     cnn   outlets  give  coverage  trumps investigations resist trumprussia trump"
"277","navy seal confirms seal torch   brighter  traditional flashlight   "
"278","cnn speak   billions  gave  iran  hillary    jail benghazi gilmore terrorists  large  care   stfu"
"279","iceland  mapping  genome   population   change medicine   famhealthguide  cnvey"
"280","limitless pill leaked   drug wall street traders    "
"281"," epa isnt focused  environmental protection         "
"282","cnn senshumer  dealings  russia    past doesnt     issue   dirtydems fakenews"
"283"," pledge trumps wall     illegal drugs  "
"284"," orientaltimes ipobs wellorganised agitation  gained trump netanyahu  world leaders attention  cnn analyst "
"285"," returns  speak   climate change"
"286"," epa isnt focused  environmental protection         "
"287"," epa isnt focused  environmental protection         "
"288"," orleans sued  planned removal  confederate statue  cnn "
"289","cubanmofo cnn        turn  music 
   trouble   excuse  assaulting  "
"290"," thehill cnn anchor trumps tweet  sally yates  witness intimidation  "
"291"," epa isnt focused  environmental protection         "
"292"," epa isnt focused  environmental protection        "
"293","cnnpolitics cnn  god trump won    god cnn lost maga"
"294"," epa isnt focused  environmental protection        "
"295"," epa isnt focused  environmental protection         news"
"296","cheaper  stronger  adderall    fda leak   "
"297"," things  tuesday   russia afghanistan life expectancy "
"298"," things  tuesday   russia afghanistan life expectancy "
"299"," cnni  beach   washed   storms    years ago  reappeared   west coast  ireland "
"300"," yates  questions   trump white house  "
"301"," cnntonight rep tedlieu  highly urge pres trump  read  legislation     cover preexisting conditions "
"302","cnn realdonaldtrump  jkushner  committed treason"
"303"," honeymiracle obama isnt ready  give   obamacare    cnnhorayyyyy "
"304","  fights republican senators    health care "
"305"," things  tuesday   russia afghanistan life expectancy  newslytweet"
"306"," honeymiracle obama isnt ready  give   obamacare    cnn "
"307","vintage donald trump schools cnn reporter   amp  literally drops  mic video maga wakeupamerica "
"308","  fights republican senators    health care "
"309","cnn simple  scratch  trademark back  ill scratch  greencard back"
"310","st rule   flat belly lose  kilo  day   bizarre trick   "
"311"," honeymiracle obama warned trump  hiring flynn sources   cnn "
"312","st rule   flat belly lose  kilo  day   bizarre trick   "
"313"," ophidianpilot israeli prime minister netanyahu slams  york times  cnn  fake news  hamas   newsbu"
"314","trump tweets russiatrump collusion  hoax  cnn video "
"315"," epa isnt focused  environmental protection        "
"316"," honeymiracle  things  watch   sally yates hearing  cnn "
"317","hillamerica cnn ayo  dont       regard  obama  supposed   morally superior"
"318"," things  tuesday   russia afghanistan life expectancy "
"319"," post  things  tuesday   russia afghanistan life expectancy "
"320","  fights republican senators    health care "
"321"," epa isnt focused  environmental protection        "
"322"," things  tuesday   russia afghanistan life expectancy "
"323","ceo  qantas attacked  cream pie  perth speech  "
"324","cnn doesnt orange boy realize  walls   obsolete  factory jobs  coal mining  lives   fantasy world"
"325","  fights republican senators    health care "
"326"," donie man plays violin  middle  chaotic venezuelan protest cnn "
"327","cnn  great"
"328","     "
"329"," cnnpolitics  state department blog post promotes president trumps maralago club  florida  "
"330"," guyendorekaiser   odd   panel cnn put   discuss  womens march    put  finger   "
"331","cnn  wait  miss listening   man  spoke  complete coherent sentences unlike   "
"332"," luvmanwife    stomach     spend  day watching  hrs  msm fox  cnn  msnbc     hear"
"333","saltyworley ruckus cnn dude  dont     "
"334"," derekahunter   cnnthe home  unchallenged crap "
"335","cnn   billclinton   team  writers  work  james pattersondont "
"336"," cnn  reporting   didnt happen 
 menillegal aliens aged     sex    yr  gir "
"337"," apcnigeria  amount  money   admin gave ait   upgrade nta  compete favourably  cnn    agree gbenga"
"338","newsbusters   watch  nbc news channel  cnn    reason   supporting   president   fake news"
"339","cnn money money money money   thing  people care "
"340"," melanidenham cnn donald trump jr respectfully       fuck "
"341","cnn latest   fights republican senators    health care  president "
"342"," renomarky     person 
  chriscuomo  piece shit cnn    weasel racebaiting scumbag "
"343","cnn  cnn    dishonest amp fake news organizations fabricate   stories question   obam "
"344","cnn latest  epa isnt focused  environmental protection        "
"345","cnn latest  things  tuesday   russia afghanistan life expectancy russia "
"346","cnn latest airline ceo attacked  cream pie alan joyce  ceo  australian airline "
"347","cnn latest spirit airlines cancels flight passenger brawl breaks  screams  "
"348"," itspartyyomo dont push        "
"349"," cnnhealth  exercise   unhealthy addiction  "
"350"," orleans sued  planned removal  confederate statue  cnn "
"351"," cnn critics visa program touted  kushners    wealthy foreigners  buy  green cards  "
"352"," cnn  beach   washed   storms    years ago  reappeared   west coast  ireland "
"353","cnn    president obama   president  honestly  dont        "
"354","limitless pill leaked   drug wall street traders    "
"355"," donnytomlinson  nytimes amp cnn  doctor harmless football team photos   white house   photos   edit  "
"356","lmfao cnn purposetourmanila "
"357","  fights republican senators    health care  cnnturtle breath    vote rules  "
"358","cheaper  stronger  adderall    fda leak   "
"359","pointlesslettrs  case   closed   original prosecutor reopened      pressure "
"360","cnn nice spin   fake news"
"361"," cnn john oliver revisits  issue  net neutrality amid threat  rollbacks  "
"362"," ananavarro trump family  inlaws  turned white house  home shopping network  hawking   make  "
"363","oprah wouldnt  allowed  buy   modern day titanic     rich  love  travel amp learn "
"364","amazon lowers free shipping minimum    cnn money "
"365","jakartas governor found guilty  blasphemy  sentenced   years  prison    "
"366","  genius pill made illegal   united states   "
"367"," culprit turned    national news finally reported     drscottatlanta  cnvey"
"368","  president obama  speak  climate change  food supply   seeds  chips summit  italy "
"369","cnn yeah hes good  giving speeches lol"
"370","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran  "
"371"," karaswisher sally yates    bring back  russia story     "
"372","cnn   put  stop  "
"373","cnn    care       "
"374","morningjoe newday 
    pretty  deal wasnt comey   oath
cnn msnbc abc gma "
"375"," cnn james clapper putin    demean clinton   elect trump  "
"376","pepe  frog  dead cnn "
"377","cnni fake news  cnn"
"378","cnn rumor     bio  dick van dyke  bill  play    movie"
"379","      funny "
"380","url 
incompetent   
lol
potus muslimban sallyyates fakenews alternativefacts cnn msnbc obama justice "
"381","marywalterradio cnn obama  fire   "
"382"," wiseroh hashtaggriswold benshapiro washington post fact checking cnn  mind  blown"
"383"," ifuaskmee  heres trumps ties  russia amjoy cnnsotu politicsnation thisweek meetthepress cnn msnbc foxnews "
"384","fellowautist cnn    trumps weekly maralago trip"
"385"," journalist pallavighosh spreads fake news  gangrape  beef   madhukishwar  cnvey"
"386"," cnn  trump didnt listen    people  told   stay   michael flynn  "
"387","mysterious space plane lands  florida "
"388"," cnntonight salenazito channels    fan  health care   halftime   superbowl  atlantafalcons   "
"389","st rule   flat belly lose  kilo  day   bizarre trick   "
"390"," comments cnn maddow msnbc cbs abc nytimes buzzfeed "
"391","nickybaby cnn   infamous"
"392"," cnn isis leader  afghanistan  killed  raid  confirms  "
"393","gop congressman   fellow republicans  irresponsible  celebrate  ahca   "
"394"," susanleigh vive la france shes    husband   french president   "
"395"," gop senators  battle   health care "
"396"," cnn  beach   washed   storms    years ago  reappeared   west coast  ireland "
"397"," gop senators  battle   health care "
"398","cnn  potus   dam  rivers "
"399","increadible  moms simple trick  burns body fat easily   "
"400"," cnn laurie garrett  blame  victim mantra     back  vogue    worst     "
"401","cnn  footlong giant rabbit  found dead   transatlantic united flight   owners  compensat "
"402"," barbaralnewsome angloshok booniekane legolvr tammykosiancic frisbeetarian zzpp ventuckyspaz voteforrdparty berniewdvewo"
"403","cnn    drunk"
"404"," russonpolitics  president  threatening  witness cnn analyst jeffreytoobin slams trumps disturbing sally yates tweets htt"
"405","jakarta governor ahok found guilty  landmark indonesian blasphemy trial cnn "
"406"," floridaman    bigass alligator "
"407","cnn trumps wall  ugly  fk  nice work donald  orange twat"
"408"," almaraasi   eat   iron chef  hong kong cnntravel  foodie food travel traveltuesday"
"409","college student discovered  faster   lose weight  free    "
"410","great ride  trump   usa  whoah    macron  france taking    late bigwaves "
"411","susanqwood michaelcbender    notable exceptions  garbage cnn treats news  espn  sports si "
"412","india tourismday mumbai pulls    stops  justin biebers  india concert "
"413","limitless pill leaked   drug wall street traders    "
"414"," zacpetkanas whoa 

obama warned trump  flynns   coming   russia collusion investigation

 "
"415","cheaper  stronger  adderall    fda leak   "
"416","kathleenweathe theclaudiainez cnn correction   canadian journalist  american whats  misleading  story isnt  "
"417"," tamethedrew   havent worked     thirst  real 
actor antonio sabato jr running  congress cnnpolitics "
"418","yruwhining cnn    dont    reporting  trump   trump    president "
"419","jerryllucas cnn grand jury appears   investigating   tweet insider info secret till indictments handed "
"420","cnn  mil    rabbit  killed  mil   lady  heart break "
"421","obama returns  spotlight  speak   climate change cnn "
"422","cnn   crime   cnn  msnbc  pushing  fake narrative   news    collusion  "
"423","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran mi "
"424"," kylegriffin rep swalwell  trumprussia connection   pattern hereof  personal political amp financial ties "
"425","captainbrent themncarver cnn  obama  cleared flynn  "
"426","cmurray cnn fake news  lets   bullshit     russia   trumpster  kiddies  lmao"
"427"," leslielesliewit  shit   ivanka  booed  germany
 "
"428"," rickmills kamvtv stevenwhirsch  obama           gave trump  keys   white house cnn fa"
"429","scoopjohng cnn realdonaldtrump  live  france amp    thankful   coming   didnt happen frenc "
"430","cnn funny    complains   drugs coming  mexico stop buying   drug addicts invest mo "
"431","nationalpost white house advisers called ottawa  urge trudeau   talk trump   scrapping nafta "
"432"," lhfang   cnnmsnbc   cable  boils politics   tabloid coverage   substantive policy discussion "
"433","cnn  cute           flat fee  "
"434"," armandodkos   trump adviser michael  flynn   dinner  putin   russia today    cnn "
"435","hellojaime cnn  ppl   reasoning  convince themslvs  plane flight  safe   instincts "
"436","powerful brainenhancer doubles iq   "
"437"," cnnphilippines pangilinan  senators  oppose death penalty bill  cnnphnewsnight live "
